'Cold-shock' DNA-binding domain	PF00313
5'-3' exonuclease, C-terminal SAM fold	PF01367
5'-3' exonuclease, N-terminal resolvase-like domain	PF02739
5'-AMP-activated protein kinase beta subunit, interaction domain	PF04739
5'-nucleotidase	PF06189
5'-nucleotidase, C-terminal domain	PF02872
5-FTHF_cyc-lig	PF01812
5-aminolevulinate synthase presequence	PF09029
5-bromo-4-chloroindolyl phosphate hydrolysis protein	PF10112
5-carboxymethyl-2-hydroxymuconate isomerase	PF02962
5-formyltetrahydrofolate cyclo-ligase family	PF01812
5-nucleotidase	PF06189
50S ribosome-binding GTPase	PF01926
53-BP1_Tudor	PF09038
56kDa selenium binding protein (SBP56)	PF05694
5HT_transport_N	PF03491
5TM C-terminal transporter carbon starvation CstA	PF13722
5TM-5TMR_LYT	PF07694
5TMR of 5TMR-LYT	PF07694
5_3_exonuc	PF01367
5_3_exonuc_N	PF02739
5_nucleotid	PF05761
5_nucleotid_C	PF02872
6,7-dimethyl-8-ribityllumazine synthase	PF00885
6-O-methylguanine DNA methyltransferase, DNA binding domain	PF01035
6-O-methylguanine DNA methyltransferase, ribonuclease-like domain	PF02870
6-bladed beta-propeller	PF17170
6-carboxyhexanoate--CoA ligase	PF03744
6-phosphofructo-2-kinase	PF01591
6-phosphogluconate dehydrogenase, C-terminal domain	PF00393
6-pyruvoyl tetrahydropterin synthase	PF01242
6-pyruvoyl-tetrahydropterin synthase related domain; membrane protein	PF10131
60KD_IMP	PF02096
60Kd inner membrane protein	PF02096
60S ribosomal protein L4 C-terminal domain	PF14374
60S ribosome biogenesis protein Rrp14	PF15459
60s Acidic ribosomal protein	PF00428
6PF2K	PF01591
6PGD	PF00393
7 transmembrane helices usually fused to an inactive transglutaminase	PF14402
7 transmembrane receptor (Secretin family)	PF00002
7 transmembrane receptor (rhodopsin family)	PF00001
7 transmembrane sweet-taste receptor of 3 GCPR	PF00003
7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)	PF01288
7TM diverse intracellular signalling	PF07695
7TM receptor with intracellular HD hydrolase	PF07698
7TM-7TMR_HD	PF07698
7TM-HD extracellular	PF07697
7TMR-DISM extracellular 2	PF07696
7TMR-DISMED2	PF07696
7TMR-DISM_7TM	PF07695
7TMR-HDED	PF07697
7TM_GPCR_Sra	PF02117
7TM_GPCR_Srab	PF10292
7TM_GPCR_Srb	PF02175
7TM_GPCR_Srbc	PF10316
7TM_GPCR_Srd	PF10317
7TM_GPCR_Srh	PF10318
7TM_GPCR_Sri	PF10327
7TM_GPCR_Srj	PF10319
7TM_GPCR_Srsx	PF10320
7TM_GPCR_Srt	PF10321
7TM_GPCR_Sru	PF10322
7TM_GPCR_Srv	PF10323
7TM_GPCR_Srw	PF10324
7TM_GPCR_Srx	PF10328
7TM_GPCR_Srz	PF10325
7TM_GPCR_Str	PF10326
7TM_transglut	PF14402
7kD DNA-binding domain	PF02294
7kD viral coat protein	PF02495
7kD_DNA_binding	PF02294
7kD_coat	PF02495
7tm Chemosensory receptor	PF08395
7tm Odorant receptor	PF02949
7tm_1	PF00001
7tm_2	PF00002
7tm_3	PF00003
7tm_4	PF13853
7tm_6	PF02949
7tm_7	PF08395
8-oxoguanine DNA glycosylase, N-terminal domain	PF07934
87kDa Transposase	PF12596
8TM Microsporidial transmembrane domain	PF17028
8TM_micro	PF17028
A circularly permuted ATPgrasp	PF04174
A distinct subfamily of CDD/CDA-like deaminases	PF14421
A nuclease family of the HNH/ENDO VII superfamily with conserved AHH	PF14412
A nuclease of the HNH/ENDO VII superfamily with conserved LHH	PF14411
A nuclease of the HNH/ENDO VII superfamily with conserved WHH	PF14414
A predicted alpha-helical domain with a conserved ER motif.	PF04168
A repeated domain in UCH-protein	PF13446
A-2_8-polyST	PF07388
A-factor biosynthesis hotdog domain	PF03756
A-kinase anchor protein 110 kDa (AKAP 110)	PF05716
A-kinase anchor protein 2 C-terminus	PF15304
A-kinase anchoring protein 95 (AKAP95)	PF04988
A-macroglobulin complement component	PF07678
A-macroglobulin receptor	PF07677
A1 Propeptide	PF07966
A1_Propeptide	PF07966
A20-like zinc finger	PF01754
A2L zinc ribbon domain	PF08792
A2L_zn_ribbon	PF08792
A2M	PF00207
A2M_N	PF01835
A2M_N_2	PF07703
A2M_comp	PF07678
A2M_recep	PF07677
A49-like RNA polymerase I associated factor	PF06870
A9 protein conserved region	PF04835
AAA	PF00004
AAA ATPase domain	PF13175
AAA ATPase domain	PF13191
AAA C-terminal domain	PF16193
AAA domain	PF13086
AAA domain	PF13087
AAA domain	PF13166
AAA domain	PF13173
AAA domain	PF13207
AAA domain	PF13238
AAA domain	PF13401
AAA domain	PF13476
AAA domain	PF13479
AAA domain	PF13481
AAA domain	PF13500
AAA domain	PF13514
AAA domain	PF13521
AAA domain	PF13604
AAA domain	PF13614
AAA domain	PF13654
AAA domain	PF13671
AAA domain (Cdc48 subfamily)	PF07724
AAA domain (dynein-related subfamily)	PF07728
AAA domain, putative AbiEii toxin, Type IV TA system	PF13304
AAA-ATPase Vps4-associated protein 1	PF08432
AAA-ATPase_like	PF09820
AAA-like domain	PF12846
AAA-like domain	PF14516
AAA_10	PF12846
AAA_11	PF13086
AAA_12	PF13087
AAA_13	PF13166
AAA_14	PF13173
AAA_15	PF13175
AAA_16	PF13191
AAA_17	PF13207
AAA_18	PF13238
AAA_19	PF13245
AAA_2	PF07724
AAA_21	PF13304
AAA_22	PF13401
AAA_23	PF13476
AAA_24	PF13479
AAA_25	PF13481
AAA_26	PF13500
AAA_27	PF13514
AAA_28	PF13521
AAA_29	PF13555
AAA_3	PF07726
AAA_30	PF13604
AAA_31	PF13614
AAA_32	PF13654
AAA_33	PF13671
AAA_34	PF13872
AAA_35	PF14516
AAA_5	PF07728
AAA_6	PF12774
AAA_7	PF12775
AAA_8	PF12780
AAA_9	PF12781
AAA_PrkA	PF08298
AAA_assoc	PF14363
AAA_assoc_2	PF16193
AAA_assoc_C	PF09821
AAL_decarboxy	PF03306
AAR2	PF05282
AAR2 protein	PF05282
AARP2CN	PF08142
AARP2CN (NUC121) domain	PF08142
AAT	PF03417
AATF-Che1	PF13339
AATase	PF07247
AA_kinase	PF00696
AA_permease	PF00324
AA_permease_2	PF13520
AA_permease_C	PF13906
AA_permease_N	PF08403
AA_synth	PF06684
ABA/WDS induced protein	PF02496
ABATE	PF07336
ABA_GPCR	PF12430
ABA_WDS	PF02496
ABC 3 transport family	PF00950
ABC transporter	PF00005
ABC transporter	PF12848
ABC transporter C-terminal domain	PF16326
ABC transporter substrate binding protein	PF04392
ABC transporter transmembrane region	PF00664
ABC transporter transmembrane region	PF13748
ABC transporter transmembrane region 2	PF06472
ABC transporter, phosphonate, periplasmic substrate-binding protein	PF12974
ABC-2 family transporter protein	PF06182
ABC-2 family transporter protein	PF12679
ABC-2 family transporter protein	PF12698
ABC-2 family transporter protein	PF12730
ABC-2 family transporter protein	PF13346
ABC-2 type transporter	PF01061
ABC-3	PF00950
ABC-transporter extracellular N-terminal	PF14510
ABC-type cobalt transport system, permease component	PF09819
ABC-type transport auxiliary lipoprotein component	PF03886
ABC-type uncharacterized transport system	PF09822
ABC1	PF03109
ABC1 family	PF03109
ABC2_membrane	PF01061
ABC2_membrane_2	PF12679
ABC2_membrane_3	PF12698
ABC2_membrane_4	PF12730
ABC2_membrane_5	PF13346
ABC2_membrane_6	PF06182
ABC_ATPase	PF09818
ABC_cobalt	PF09819
ABC_export	PF16962
ABC_membrane	PF00664
ABC_membrane_2	PF06472
ABC_membrane_3	PF13748
ABC_sub_bind	PF04392
ABC_tran	PF00005
ABC_tran_2	PF16949
ABC_tran_CTD	PF16326
ABC_tran_Xtn	PF12848
ABC_trans_CmpB	PF06541
ABC_trans_N	PF14510
ABC_trans_aux	PF03886
ABC_transp_aux	PF09822
ABG_transport	PF03806
ABM	PF03992
ACAS_N	PF16177
ACBP	PF00887
ACCA	PF03255
ACC_central	PF08326
ACC_epsilon	PF13822
ACD	PF16671
ACDC	PF14733
ACI44	PF15270
ACOX	PF01756
ACP	PF06857
ACP53EA	PF06313
ACPS	PF01648
ACP_syn_III	PF08545
ACP_syn_III_C	PF08541
ACR_tran	PF00873
ACT	PF01842
ACT domain	PF01842
ACT domain	PF10000
ACT domain	PF13291
ACT domain	PF13710
ACT domain	PF13740
ACT domain	PF13840
ACTH-associated domain	PF16102
ACTH_assoc	PF16102
ACTH_domain	PF00976
ACTL7A_N	PF16840
ACT_3	PF10000
ACT_4	PF13291
ACT_5	PF13710
ACT_6	PF13740
ACT_7	PF13840
AC_N	PF16214
AChE_tetra	PF08674
AD	PF09793
ADAM cysteine-rich	PF08516
ADAM-TS Spacer 1	PF05986
ADAM17_MPD	PF16698
ADAM_CR	PF08516
ADAM_spacer1	PF05986
ADC	PF06314
ADH_N	PF08240
ADH_N_2	PF16884
ADH_N_assoc	PF13823
ADH_zinc_N	PF00107
ADH_zinc_N_2	PF13602
ADIP	PF11559
ADK	PF00406
ADK_lid	PF05191
ADP-ribosyl cyclase	PF02267
ADP-ribosylation factor family	PF00025
ADP-ribosylation factor-like protein 17	PF15840
ADP-ribosylglycohydrolase	PF03747
ADP-ribosyltransferase exoenzyme	PF03496
ADP-specific Phosphofructokinase/Glucokinase conserved region	PF04587
ADP_PFK_GK	PF04587
ADP_ribosyl_GH	PF03747
ADPrib_exo_Tox	PF03496
ADSL_C	PF10397
AEP1	PF17049
AF-4	PF05110
AF-4 proto-oncoprotein	PF05110
AF0941-like	PF14591
AF0941-like	PF14591
AF2226-like SPOUT RNA Methylase fused to THUMP	PF14419
AF2331-like	PF14556
AF2331-like	PF14556
AFG1-like ATPase	PF03969
AFG1_ATPase	PF03969
AFOR_C	PF01314
AFOR_N	PF02730
AFP	PF02420
AFT	PF08731
AGT	PF11440
AGTRAP	PF06396
AHH	PF14412
AHS1	PF02682
AHS2	PF02626
AHSA1	PF08327
AHSP	PF09236
AIB	PF15334
AICARFT/IMPCHase bienzyme	PF01808
AICARFT_IMPCHas	PF01808
AIDA	PF16168
AIF-MLS	PF14962
AIF_C	PF14721
AIG1	PF04548
AIG1 family	PF04548
AIG2-like family	PF13772
AIG2_2	PF13772
AIM24	PF01987
AIM3	PF17096
AIM5	PF17050
AIMP2 lysyl-tRNA synthetase binding domain	PF16780
AIMP2_LysRS_bd	PF16780
AIP3	PF03915
AIPR	PF10592
AIPR protein	PF10592
AIR carboxylase	PF00731
AIR synthase related protein, C-terminal domain	PF02769
AIR synthase related protein, N-terminal domain	PF00586
AIRC	PF00731
AIRS	PF00586
AIRS_C	PF02769
AJAP1/PANP C-terminus	PF15298
AJAP1_PANP_C	PF15298
AKAP28	PF14469
AKAP2_C	PF15304
AKAP7 2'5' RNA ligase-like domain	PF10469
AKAP7_NLS	PF10469
AKAP7_RIRII_bdg	PF10470
AKAP95	PF04988
AKAP_110	PF05716
AKNA	PF12443
ALAD	PF00490
ALF	PF03752
ALG11 mannosyltransferase N-terminus	PF15924
ALG11_N	PF15924
ALG3	PF05208
ALG3 protein	PF05208
ALG6, ALG8 glycosyltransferase family	PF03155
ALGX	PF16822
ALIX V-shaped domain binding to HIV	PF13949
ALIX_LYPXL_bnd	PF13949
ALMS motif	PF15309
ALMS_motif	PF15309
ALMT	PF11744
ALO	PF04030
ALS2CR11	PF15729
ALS2CR8	PF15299
ALS_ss_C	PF10369
AMA-1	PF02430
AMH_N	PF04709
AMIN	PF11741
AMIN domain	PF11741
AMMECR1	PF01871
AMMECR1	PF01871
AMNp_N	PF10423
AMO	PF02461
AMOP	PF03782
AMOP domain	PF03782
AMP-binding	PF00501
AMP-binding enzyme	PF00501
AMP-binding enzyme C-terminal domain	PF13193
AMP-binding enzyme C-terminal domain	PF14535
AMP-binding_C	PF13193
AMP-binding_C_2	PF14535
AMPK1_CBM	PF16561
AMPKBI	PF04739
AMP_N	PF05195
AN1-like Zinc finger	PF01428
ANAPC1	PF12859
ANAPC10	PF03256
ANAPC15	PF15243
ANAPC2	PF08672
ANAPC3	PF12895
ANAPC4	PF12896
ANAPC4_WD40	PF12894
ANAPC5	PF12862
ANAPC8	PF04049
ANAPC9	PF12856
ANAPC_CDC26	PF10471
ANATO	PF01821
ANF_receptor	PF01094
ANKH	PF07260
ANP	PF00212
ANT	PF03374
ANTAR	PF03861
ANTAR domain	PF03861
ANTH	PF07651
ANTH domain	PF07651
ANXA2R	PF15721
AOX	PF01786
AP endonuclease family 2 C terminus	PF07582
AP-1 complex-associated regulatory protein	PF15745
AP-5 complex subunit sigma-1	PF15001
AP-5 complex subunit, vesicle trafficking	PF14764
AP-5_subunit_s1	PF15001
AP1AR	PF15745
AP2	PF00847
AP2 domain	PF00847
AP2-coincident C-terminal	PF14733
AP2-like DNA-binding integrase domain	PF14657
AP3B1_C	PF14796
AP4E_app_platf	PF14807
APA3_viroporin	PF11289
APC 15 residue motif	PF05972
APC basic domain	PF05956
APC cysteine-rich region	PF05923
APCDDC	PF14921
APC_15aa	PF05972
APC_N_CC	PF16689
APC_basic	PF05956
APC_crr	PF05923
APC_u13	PF16634
APC_u14	PF16635
APC_u15	PF16636
APC_u5	PF16630
APC_u9	PF16633
APG12	PF04110
APG17	PF04108
APG5	PF04106
APG6	PF04111
APG9	PF04109
APH	PF01636
APH_6_hur	PF04655
API5	PF05918
APJ endogenous ligand	PF15360
APO RNA-binding	PF05634
APOBEC-like C-terminal domain	PF05240
APOBEC-like N-terminal domain	PF08210
APOBEC_C	PF05240
APOBEC_N	PF08210
APOC4	PF15119
APO_RNA-bind	PF05634
APP_Cu_bd	PF12924
APP_E2	PF12925
APP_N	PF02177
APP_amyloid	PF10515
APS-reductase_C	PF12139
APS_kinase	PF01583
APT	PF03440
AP_endonuc_2	PF01261
AP_endonuc_2_N	PF07582
ARA70	PF12489
ARC105 or Med15 subunit of Mediator complex non-fungal	PF09606
ARD	PF03079
ARD/ARD' family	PF03079
ARF7 effector protein C-terminus	PF14949
ARF7EP_C	PF14949
ARGLU	PF15346
ARHGEF5_35	PF15441
ARID	PF01388
ARID/BRIGHT DNA binding domain	PF01388
ARL17	PF15840
ARL2_Bind_BART	PF11527
ARL6IP6	PF15062
ARM-like repeat domain, GUN4-N terminal	PF16416
AROS	PF15684
ARP2/3 complex 16 kDa subunit (p16-Arc)	PF04699
ARP2/3 complex 20 kDa subunit (ARPC4)	PF05856
ARP2/3 complex ARPC3 (21 kDa) subunit	PF04062
ARPC4	PF05856
ARS binding protein 2	PF09441
ARS2	PF04959
ART	PF01129
ASC	PF00858
ASCH	PF04266
ASCH domain	PF04266
ASD1	PF08688
ASD2	PF08687
ASF1 like histone chaperone	PF04729
ASF1_hist_chap	PF04729
ASFV_360	PF01671
ASFV_J13L	PF05568
ASFV_L11L	PF05293
ASFV_p27	PF06556
ASH	PF15780
ASL_C	PF08328
ASL_C2	PF14698
ASPIC and UnbV	PF07593
ASRT	PF07100
ASXH	PF13919
AT hook motif	PF02178
AT-hook-containing transcription factor	PF12443
ATAD4	PF15321
ATC_hydrolase	PF14196
ATE_C	PF04377
ATE_N	PF04376
ATF-interacting protein binding domain	PF16788
ATF7IP_BD	PF16788
ATG11	PF10377
ATG13	PF10033
ATG16	PF08614
ATG19_autophagy	PF12744
ATG22	PF11700
ATG27	PF09451
ATG2_CAD	PF13329
ATG7_N	PF16420
ATG_C	PF09333
ATHILA	PF03078
ATHILA ORF-1 family	PF03078
ATLF	PF07737
ATP P2X receptor	PF00864
ATP adenylyltransferase	PF09830
ATP citrate lyase citrate-binding	PF16114
ATP cone domain	PF03477
ATP dependent DNA ligase C terminal region	PF04679
ATP dependent DNA ligase domain	PF01068
ATP phosphoribosyltransferase	PF01634
ATP synthase	PF00231
ATP synthase (C/AC39) subunit	PF01992
ATP synthase (E/31 kDa) subunit	PF01991
ATP synthase (F/14-kDa) subunit	PF01990
ATP synthase A chain	PF00119
ATP synthase B/B' CF(0)	PF00430
ATP synthase D chain, mitochondrial (ATP5H)	PF05873
ATP synthase E chain	PF05680
ATP synthase F1 beta subunit	PF11421
ATP synthase I chain	PF03899
ATP synthase alpha/beta chain, C terminal domain	PF00306
ATP synthase alpha/beta family, beta-barrel domain	PF02874
ATP synthase alpha/beta family, nucleotide-binding domain	PF00006
ATP synthase complex subunit h	PF10775
ATP synthase delta (OSCP) subunit	PF00213
ATP synthase epsilon subunit	PF08112
ATP synthase j chain	PF04911
ATP synthase protein 8	PF00895
ATP synthase regulation	PF14960
ATP synthase regulation protein NCA2	PF08637
ATP synthase subunit C	PF00137
ATP synthase subunit D	PF01813
ATP synthase subunit H	PF05493
ATP synthase, Delta/Epsilon chain, beta-sandwich domain	PF02823
ATP synthase, Delta/Epsilon chain, long alpha-helix domain	PF00401
ATP-NAD kinase	PF01513
ATP-binding cassette cobalt transporter	PF12558
ATP-binding dynein motor region D5	PF12781
ATP-binding sugar transporter from pro-phage	PF13856
ATP-cone	PF03477
ATP-dependant DNA helicase UvsW	PF11637
ATP-dependent Clp protease adaptor protein ClpS	PF02617
ATP-dependent helicase C-terminal	PF08482
ATP-dependent protease La (LON) substrate-binding domain	PF02190
ATP-grasp	PF02222
ATP-grasp domain	PF02222
ATP-grasp domain	PF02655
ATP-grasp domain	PF08442
ATP-grasp domain	PF13535
ATP-grasp domain	PF13549
ATP-grasp in the biosynthetic pathway with Ter operon	PF15632
ATP-grasp_2	PF08442
ATP-grasp_3	PF02655
ATP-grasp_4	PF13535
ATP-grasp_5	PF13549
ATP-gua_Ptrans	PF00217
ATP-gua_PtransN	PF02807
ATP-sulfurylase	PF01747
ATP-sulfurylase	PF01747
ATP-synt	PF00231
ATP-synt_10	PF05176
ATP-synt_8	PF00895
ATP-synt_A	PF00119
ATP-synt_B	PF00430
ATP-synt_C	PF00137
ATP-synt_D	PF01813
ATP-synt_DE	PF00401
ATP-synt_DE_N	PF02823
ATP-synt_E	PF05680
ATP-synt_E_2	PF08112
ATP-synt_Eps	PF04627
ATP-synt_F	PF01990
ATP-synt_F6	PF05511
ATP-synt_G	PF04718
ATP-synt_I	PF03899
ATP-synt_J	PF04911
ATP-synt_S1	PF05827
ATP-synt_Z	PF16594
ATP-synt_ab	PF00006
ATP-synt_ab_C	PF00306
ATP-synt_ab_N	PF02874
ATP-synt_ab_Xtn	PF16886
ATP-utilising chromatin assembly and remodelling N-terminal	PF10537
ATP10 protein	PF05176
ATP11	PF06644
ATP11 protein	PF06644
ATP12	PF07542
ATP12 chaperone protein	PF07542
ATP13	PF12921
ATP1G1/PLM/MAT8 family	PF02038
ATP1G1_PLM_MAT8	PF02038
ATP:corrinoid adenosyltransferase BtuR/CobO/CobP	PF02572
ATP:dephospho-CoA triphosphoribosyl transferase	PF01874
ATP:guanido phosphotransferase, C-terminal catalytic domain	PF00217
ATP:guanido phosphotransferase, N-terminal domain	PF02807
ATP_Ca_trans_C	PF12424
ATP_bind_1	PF03029
ATP_bind_2	PF03668
ATP_bind_3	PF01171
ATP_sub_h	PF10775
ATP_synt_H	PF05493
ATP_synth_reg	PF14960
ATP_transf	PF09830
ATPase	PF06745
ATPase MipZ	PF09140
ATPase P4 of dsRNA bacteriophage phi-12	PF11602
ATPase domain predominantly from Archaea	PF01637
ATPase expression protein 1	PF17049
ATPase family AAA domain containing 4	PF15321
ATPase family associated with various cellular activities (AAA)	PF00004
ATPase family associated with various cellular activities (AAA)	PF07726
ATPase involved in DNA repair	PF12458
ATPase proteolipid family	PF08114
ATPase-cat_bd	PF12156
ATPase_2	PF01637
ATPase_gene1	PF09527
ATPgrasp_ST	PF14397
ATPgrasp_Ter	PF15632
ATPgrasp_TupA	PF14305
ATPgrasp_YheCD	PF14398
ATPsynthase alpha/beta subunit N-term extension	PF16886
ATR13	PF16829
ATS	PF15445
ATS3	PF06232
ATXN-1_C	PF12547
ATX_III	PF08098
AT_hook	PF02178
AUX/IAA family	PF02309
AUX_IAA	PF02309
AWPM-19	PF05512
AWPM-19-like family	PF05512
AXE1	PF05448
AXH	PF08517
AXIN1_TNKS_BD	PF16646
AZUL	PF16558
A_amylase_inhib	PF01356
A_deamin	PF02137
A_deaminase	PF00962
A_deaminase_N	PF08451
A_thal_3526	PF09713
Aa_trans	PF01490
AalphaY_MDB	PF04611
AbLIM_anchor	PF16182
AbbA_antirepres	PF14156
Abdominal-A	PF12407
Aberrant zinc-finger	PF17017
AbfB	PF05270
AbgT putative transporter family	PF03806
Abhydro_lipase	PF04083
Abhydrolase family	PF12715
Abhydrolase_1	PF00561
Abhydrolase_2	PF02230
Abhydrolase_3	PF07859
Abhydrolase_4	PF08386
Abhydrolase_5	PF12695
Abhydrolase_6	PF12697
Abhydrolase_7	PF12715
Abhydrolase_8	PF06259
Abhydrolase_9	PF10081
Abhydrolase_9_N	PF15420
Abi	PF02517
Abi-like protein	PF07751
