11p Partial Monosomy Syndrome	D017624
Abetalipoproteinemia, Normotriglyceridemic, Steinbert Type	D052476
Abiotrophies, Leber	D057130
Abiotrophy, Leber	D057130
Abnormalities, Cardiovascular	D018376
Abnormalities, Chromosomal	D002869
Abnormalities, Chromosome	D002869
Abnormalities, Congenital	D000013
Abnormalities, Congenital, Nervous System	D009421
Abnormalities, Craniofacial	D019465
Abnormalities, Cytogenetic	D002869
Abnormalities, Digestive System	D004065
Abnormalities, Drug-Induced	D000014
Abnormalities, Drug Induced	D000014
Abnormalities, Eye	D005124
Abnormalities, Genitourinary	D014564
Abnormalities, Heart	D006330
Abnormalities, Jaw	D007569
Abnormalities, Lymphatic	D044148
Abnormalities, Maxillofacial	D019767
Abnormalities, Mouth	D009056
Abnormalities, Multiple	D000015
Abnormalities, Musculoskeletal	D009139
Abnormalities, Nervous System	D009421
Abnormalities, Radiation-Induced	D000016
Abnormalities, Radiation Induced	D000016
Abnormalities, Respiratory System	D015619
Abnormalities, Severe Teratoid	D009008
Abnormalities, Sex Chromosome	D012729
Abnormalities, Skin	D012868
Abnormalities, Stomatognathic System	D018640
Abnormalities, Teeth	D014071
Abnormalities, Tooth	D014071
Abnormalities, Torsion	D014102
Abnormalities, Urogenital	D014564
Abnormality, Cardiovascular	D018376
Abnormality, Chromosomal	D002869
Abnormality, Chromosome	D002869
Abnormality, Congenital	D000013
Abnormality, Craniofacial	D019465
Abnormality, Cytogenetic	D002869
Abnormality, Digestive System	D004065
Abnormality, Drug-Induced	D000014
Abnormality, Eye	D005124
Abnormality, Genitourinary	D014564
Abnormality, Heart	D006330
Abnormality, Jaw	D007569
Abnormality, Lymphatic	D044148
Abnormality, Maxillofacial	D019767
Abnormality, Mouth	D009056
Abnormality, Musculoskeletal	D009139
Abnormality, Nervous System	D009421
Abnormality, Radiation-Induced	D000016
Abnormality, Respiratory System	D015619
Abnormality, Severe Teratoid	D009008
Abnormality, Sex Chromosome	D012729
Abnormality, Skin	D012868
Abnormality, Stomatognathic System	D018640
Abnormality, Teeth	D014071
Abnormality, Tooth	D014071
Abnormality, Torsion	D014102
Abnormality, Urogenital	D014564
Abnormal Karyotype	D059786
Abnormal Karyotypes	D059786
Abnormal Movement	D020820
Abnormal Movements	D020820
Abnormal Proliferation Cortical Malformations	D065703
Abnormal Reflex	D012021
Abnormal Reflexes	D012021
Abnormal Spermatozoa	D000072660
Abnormal Spermatozoas	D000072660
Abortion, Habitual	D000026
Abortion, Incomplete	D000027
Abortion, Missed	D000030
Abortion, Recurrent	D000026
Abortion, Septic	D000031
Abortions, Incomplete	D000027
Abortions, Missed	D000030
Abortion, Spontaneous	D000022
Abortions, Septic	D000031
Abortions, Spontaneous	D000022
Abortions, Veterinary	D000034
Abortion, Threatened	D000033
Abortion, Veterinary	D000034
Abrasion, Dental	D014072
Abrasion, Tooth	D014072
Abruption, Placental	D000037
Abruptions, Placental	D000037
Abruptio Placentae	D000037
Abscess	D000038
Abscess, Abdominal	D018784
Abscess, Amebic, Hepatic	D008101
Abscess, Amebic Liver	D008101
Abscess, Amoebic Hepatic	D008101
Abscess, Amoebic Liver	D008101
Abscess, Apical Alveolar	D010482
Abscess, Apical Dentoalveolar	D010482
Abscess, Brain	D001922
Abscess, Epidural	D020802
Abscesses	D000038
Abscesses, Abdominal	D018784
Abscesses, Amebic Liver	D008101
Abscesses, Amoebic Hepatic	D008101
Abscesses, Amoebic Liver	D008101
Abscesses, Apical Alveolar	D010482
Abscesses, Apical Dentoalveolar	D010482
Abscesses, Hepatic	D008100
Abscesses, Iliopsoas	D016659
Abscesses, Intra-Abdominal	D018784
Abscesses, Liver	D008100
Abscesses, Lung	D008169
Abscesses, Periapical	D010482
Abscesses, Periodontal	D010508
Abscesses, Peritonsillar	D000039
Abscesses, Psoas	D016659
Abscesses, Pulmonary	D008169
Abscesses, Pyogenic Hepatic	D046290
Abscesses, Pyogenic Iliopsoas	D016659
Abscesses, Pyogenic Liver	D046290
Abscesses, Retropharyngeal	D017703
Abscesses, Subdiaphragmatic	D013369
Abscesses, Subphrenic	D013369
Abscess, Extradural	D020802
Abscess, Hepatic	D008100
Abscess, Hepatic, Amebic	D008101
Abscess, Iliopsoas	D016659
Abscess, Intra-Abdominal	D018784
Abscess, Intra Abdominal	D018784
Abscess, Liver	D008100
Abscess, Liver, Amebic	D008101
Abscess, Lung	D008169
Abscess, Periapical	D010482
Abscess, Periodontal	D010508
Abscess, Peritonsillar	D000039
Abscess, Psoas	D016659
Abscess, Pulmonary	D008169
Abscess, Pyogenic Hepatic	D046290
Abscess, Pyogenic Iliopsoas	D016659
Abscess, Pyogenic Liver	D046290
Abscess, Retropharyngeal	D017703
Abscess, Subdiaphragmatic	D013369
Abscess, Subphrenic	D013369
Absence Epilepsy	D004832
Absence of Brain, Congenital	D000757
Absence of Cerebral Hemispheres, Congenital	D006832
Absence of Corpus Callosum	D061085
Absence of Voice	D001044
Absent Iris	D015783
Absent Right Atrioventricular Connection	D018785
Abstinence Syndrome, Neonatal	D009357
Abstinence Syndromes, Neonatal	D009357
Abuse, Angel Dust	D010623
Abuse, Inhalant	D058545
Abuse, Marihuana	D002189
Abuse, Marijuana	D002189
Abuse, Oral Substance	D000075067
Abuse, PCP	D010623
Abuse, Phencyclidine	D010623
Abuses, Inhalant	D058545
AB Variant Gangliosidosis GM2	D049290
AB Variant GM2-Gangliosidoses	D049290
AB Variant GM2-Gangliosidosis	D049290
AB Variant GM2 Gangliosidosis	D049290
ACA Infarction	D020243
ACA Infarctions	D020243
Acalculia	D060705
Acalculias	D060705
Acalculous Cholecystitis	D042101
Acalculous Gallbladder Inflammation	D042101
Acanthamoeba Keratitides	D015823
Acanthamoeba Keratitis	D015823
Acanthocheilonemiases	D063485
Acanthocheilonemiasis	D063485
Acanthocytoses	D000012
Acanthocytoses, Chorea	D054546
Acanthocytosis	D000012
Acanthocytosis, Chorea	D054546
Acanthocytosis with Neurologic Disorder	D054546
Acantholyses	D000051
Acantholysis	D000051
Acantholysis Bullosa	D004820
Acanthoma	D049309
Acanthomas	D049309
Acanthosis Nigrican	D000052
Acanthosis Nigricans	D000052
Acariasis	D008924
Acatalasemia	D020642
Acatalasia	D020642
Acathisia, Drug-Induced	D017109
Acathisia, Drug Induced	D017109
Accelerated Idioventricular Rhythm	D016170
Accelerated Idioventricular Rhythms	D016170
Accessory Atrioventricular Bundle	D058606
Accessory Atrioventricular Bundles	D058606
Accessory Atrioventricular Pathway	D058606
Accessory Atrioventricular Pathways	D058606
Accessory Conducting Pathway	D058606
Accessory Conducting Pathways	D058606
Accessory Nerve Disease	D020436
Accessory Nerve Diseases	D020436
Accessory Nerve Injuries	D061227
Accessory Nerve Injury	D061227
Accessory Nerve Trauma	D061227
Accessory Nerve Traumas	D061227
Accessory Neuropathies, Traumatic	D061227
Accessory Neuropathy, Traumatic	D061227
Accreta, Placenta	D010921
ACD-MPV	D010547
ACD MPV	D010547
ACDMPV	D010547
Achalasia	D004931
Achalasia, Esophageal	D004931
Achalasias	D004931
Achalasias, Esophageal	D004931
Ache, Back	D001416
Ache, Low Back	D017116
Ache, Neck	D019547
Aches, Back	D001416
Aches, Low Back	D017116
Aches, Neck	D019547
Achlorhydria	D000126
Achondroplasia	D000130
Achondroplasias	D000130
Achylia Gastrica	D000126
Acid Alpha-Glucosidase Deficiencies	D006009
Acid Alpha-Glucosidase Deficiency	D006009
Acid Alpha Glucosidase Deficiency	D006009
Acid-Base Imbalance	D000137
Acid Base Imbalance	D000137
Acid-Base Imbalances	D000137
Acid beta-Glucosidase Deficiency	D005776
Acid beta-Glucosidase Deficiency Disease	D005776
Acid Ceramidase Deficiencies	D055577
Acid Ceramidase Deficiency	D055577
Acid Cholesteryl Ester Hydrolase Deficiency, Wolman Type	D015223
Acid Deficiencies, Folic	D005494
Acid Deficiency, Folic	D005494
Acidemia, Argininosuccinate	D056807
Acidemia, Propionic	D056693
Acidemia Propionic	D056693
Acidemia Propionics	D056693
Acidemias, Argininosuccinate	D056807
Acidemias, Propionic	D056693
Acid Lipase Deficiency	D015223
Acid Maltase Deficiency Disease	D006009
Acidophil Adenoma	D000239
Acidophil Adenomas	D000239
Acidophilic Adenoma	D000239
Acidophilic Adenomas	D000239
Acidoses	D000138
Acidoses, Diabetic	D016883
Acidoses, Respiratory	D000142
Acidosis	D000138
Acidosis, Diabetic	D016883
Acidosis, Lactic	D000140
Acidosis, Renal Tubular	D000141
Acidosis, Respiratory	D000142
Acid Reflux, Gastric	D005764
Aciduria, Argininosuccinic	D056807
Aciduria, Ethylmalonic-Adipic	D054069
Acidurias, Argininosuccinic	D056807
Acidurias, Ethylmalonic-Adipic	D054069
Acinar Carcinoma	D018267
Acinar Carcinomas	D018267
Acinar Cell Adenocarcinoma	D018267
Acinar Cell Adenocarcinomas	D018267
Acinar Cell Carcinoma	D018267
Acinar Cell Carcinomas	D018267
Acinetobacter Infection	D000151
Acinetobacter Infections	D000151
Acinic Cell Adenocarcinoma	D018267
Acinic Cell Adenocarcinomas	D018267
Acinic Cell Carcinoma	D018267
Acinic Cell Carcinomas	D018267
Acinic Cell Tumor	D018267
Acinic Cell Tumors	D018267
Aclases, Diaphyseal	D005097
Aclasis, Diaphyseal	D005097
ACL Injuries	D000070598
ACL Injury	D000070598
Acne, Chlorine	D054506
Acne Conglobata	D000069316
Acne Conglobatas	D000069316
Acneiform Eruption	D017486
Acneiform Eruptions	D017486
Acne Inversa	D017497
Acne Inversas	D017497
Acne Keloid	D000153
Acne, Keloidal	D000153
Acne Keloidalis	D000153
Acne Keloids	D000153
Acne, Nuchal Keloid	D000153
Acne Rosacea	D012393
Acnes, Chlorine	D054506
Acnes, Nuchal Keloid	D000153
Acne Vulgaris	D000152
Acoustic Neurilemmoma	D009464
Acoustic Neurilemmomas	D009464
Acoustic Neurilemoma	D009464
Acoustic Neurilemomas	D009464
Acoustic Neurinoma	D009464
Acoustic Neurinomas	D009464
Acoustic Neurofibromatoses, Bilateral	D016518
Acoustic Neurofibromatosis, Bilateral	D016518
Acoustic Neuroma	D009464
Acoustic Neuromas	D009464
Acoustic Perceptual Disorder	D001308
Acoustic Perceptual Disorders	D001308
Acoustic Schwannoma	D009464
Acoustic Schwannomas	D009464
Acoustic Tumor	D009464
Acoustic Tumors	D009464
Acquired Aphasia with Convulsive Disorder	D018887
Acquired Childhoood Aphasia with Convulsive Disorder	D018887
Acquired Dyslexia	D004411
Acquired Ear Deformities	D004426
Acquired Ear Deformity	D004426
Acquired Epidermolysis Bullosa	D016107
Acquired Epileptic Aphasia	D018887
Acquired Epileptic Aphasias	D018887
Acquired Epileptiform Aphasia	D018887
Acquired Epileptiform Aphasias	D018887
Acquired Foot Deformities	D005531
Acquired Foot Deformity	D005531
Acquired Form of Epidermolysis Bullosa	D016107
Acquired Hand Deformities	D006227
Acquired Hand Deformity	D006227
Acquired Hyperostosis Syndrome	D020083
Acquired Hyperostosis Syndromes	D020083
Acquired Immune Deficiency Syndrome	D000163
Acquired-Immune Deficiency Syndrome Dementia Complex	D015526
Acquired Immunodeficiency Syndrome	D000163
Acquired Immuno-Deficiency Syndrome	D000163
Acquired Immuno Deficiency Syndrome	D000163
Acquired Immuno-Deficiency Syndromes	D000163
Acquired Immunodeficiency Syndromes	D000163
Acquired Joint Deformities	D016916
Acquired Joint Deformity	D016916
Acquired Nasal Deformities	D009667
Acquired Nasal Deformity	D009667
Acquired Nose Deformities	D009667
Acquired Nose Deformity	D009667
Acquired Reading Disabilities	D004411
Acquired Reading Disability	D004411
Acquired Word Blindness	D004411
Acquired Word Blindnesses	D004411
Acral Erythema, Chemotherapy-Induced	D060831
Acral Erythemas, Chemotherapy-Induced	D060831
Acrocallosal Syndrome	D055673
Acrocallosal Syndromes	D055673
Acrocephalosyndactylia	D000168
Acrocephalosyndactylias	D000168
Acrodermatitides	D000169
Acrodermatitis	D000169
Acrodynia	D000170
Acrodynic Erythema	D000170
Acrodysplasia V	D015826
Acrodysplasia Vs	D015826
Acromegaly	D000172
Acromegaly Due To Pituitary Adenoma	D049912
Acro-Osteolysis	D030981
Acro Osteolysis	D030981
Acroosteolysis	D030981
Acroosteolysis Syndrome	D030981
Acro-Osteolysis Syndrome	D030981
Acro-Osteolysis Syndromes	D030981
Acroosteolysis with Osteoporosis and Changes in Skull and Mandible	D031845
Acrospiroma	D018250
Acrospiromas	D018250
ACTH Hypersecretion, Pituitary	D047748
ACTH-Producing Pituitary Adenoma	D049913
ACTH Producing Pituitary Adenoma	D049913
ACTH-Producing Pituitary Adenomas	D049913
ACTH-Secreting Pituitary Adenoma	D049913
ACTH Secreting Pituitary Adenoma	D049913
ACTH-Secreting Pituitary Adenomas	D049913
ACTH Syndrome, Ectopic	D000182
ACTH Syndromes, Ectopic	D000182
Actinic Keratoses	D055623
Actinic Keratosis	D055623
Actinobacilloses	D000187
Actinobacillosis	D000187
Actinobacillus Infection	D000189
Actinobacillus Infections	D000189
Actinomyces Infection	D000196
Actinomyces Infections	D000196
Actinomycetales Infection	D000193
Actinomycetales Infections	D000193
Actinomycete Infection	D000193
Actinomycete Infections	D000193
Actinomycoses	D000196
Actinomycoses, Cervicofacial	D000197
Actinomycosis	D000196
Actinomycosis, Cervicofacial	D000197
Activated Protein C Resistance	D020016
Activator Deficiencies, GM2	D049290
Activator Deficiencies, Hexosaminidase	D049290
Activator Deficiency, GM2	D049290
Activator Deficiency GM2 Gangliosidosis	D049290
Activator Deficiency, Hexosaminidase	D049290
Activator-Deficient Tay-Sachs Disease	D049290
Activator Deficient Tay Sachs Disease	D049290
Activator-Deficient Tay-Sachs Diseases	D049290
Acute Abdomen	D000006
Acute Abdomens	D000006
Acute Articular Rheumatism	D012213
Acute Articular Rheumatisms	D012213
Acute Autoimmune Neuropathies	D020275
Acute Autoimmune Neuropathy	D020275
Acute Basophilic Leukemia	D015471
Acute Basophilic Leukemias	D015471
Acute Biphenotypic Leukemia	D015456
Acute Biphenotypic Leukemias	D015456
Acute Chest Syndrome	D056586
Acute Chest Syndromes	D056586
Acute Cholecystitis	D041881
Acute Coronary Syndrome	D054058
Acute Coronary Syndromes	D054058
Acute Disease	D000208
Acute Diseases	D000208
Acute Disseminated Encephalomyelitides	D004673
Acute Disseminated Encephalomyelitis	D004673
Acute Encephalitis Syndrome	D000071072
Acute Encephalitis Syndromes	D000071072
Acute Eosinophilic Leukemia	D015472
Acute Eosinophilic Leukemias	D015472
Acute Erythroblastic Leukemia	D004915
Acute Erythroblastic Leukemias	D004915
Acute Febrile Encephalopathies	D000071072
Acute Febrile Encephalopathy	D000071072
Acute Febrile Neutrophilic Dermatosis	D016463
Acute Generalized Exanthematous Pustulosis	D056150
Acute Hemorrhagic Conjunctivitides	D003232
Acute Hemorrhagic Conjunctivitis	D003232
Acute Hemorrhagic Encephalomyelitides	D004684
Acute Hemorrhagic Encephalomyelitis	D004684
Acute Hemorrhagic Leukoencephalitides	D004684
Acute Hemorrhagic Leukoencephalitis	D004684
Acute Hepatic Failure	D017114
Acute Idiopathic Facial Neuropathy	D020330
Acute Infectious Polyneuritis	D020275
Acute Infectious Thyroiditides	D013969
Acute Infectious Thyroiditis	D013969
Acute Inflammatory Facial Neuropathy	D020330
Acute Intermittent Porphyria	D017118
Acute Intermittent Porphyrias	D017118
Acute Kidney Injuries	D058186
Acute Kidney Injury	D058186
Acute Kidney Tubular Necrosis	D007683
Acute Leukemia, Biphenotypic	D015456
Acute Leukemia, Hybrid	D015456
Acute Leukemia, Mixed-Lineage	D015456
Acute Leukemias, Biphenotypic	D015456
Acute Leukemias, Hybrid	D015456
Acute Leukemias, Mixed-Lineage	D015456
Acute Liver Failure	D017114
Acute Lung Injuries	D055371
Acute Lung Injury	D055371
Acute Lung Injury, Transfusion-Related	D000073617
Acute Lung Injury, Transfusion Related	D000073617
Acute Lymphoblastic Leukemia	D054198
Acute Lymphocytic Leukemia	D054198
Acute Lymphoid Leukemia	D054198
Acute Malnutrition, Severe	D000067011
Acute Megakaryoblastic Leukemia	D007947
Acute Megakaryoblastic Leukemias	D007947
Acute Megakaryocytic Leukemia	D007947
Acute Megakaryocytic Leukemias	D007947
Acute Membranous Gingivitides	D005892
Acute Membranous Gingivitis	D005892
Acute Monoblastic Leukemia	D007948
Acute Monoblastic Leukemias	D007948
Acute Monocytic Leukemia	D007948
Acute Monocytic Leukemias	D007948
Acute Myeloblastic Leukemia	D015470
Acute Myeloblastic Leukemias	D015470
Acute Myelocytic Leukemia	D015470
Acute Myelocytic Leukemias	D015470
Acute Myelogenous Leukemia	D015470
Acute Myelogenous Leukemias	D015470
Acute Myeloid Leukemia	D015470
Acute Myeloid Leukemias	D015470
Acute Myelomonocytic Leukemia	D015479
Acute Myelomonocytic Leukemias	D015479
Acute Necrotizing Pancreatitis	D019283
Acute Necrotizing Ulcerative Gingivitis	D005892
Acute Nonlymphoblastic Leukemia	D015470
Acute Nonlymphoblastic Leukemias	D015470
Acute Nonlymphocytic Leukemia	D015470
Acute Nonlymphocytic Leukemias	D015470
Acute-On-Chronic Liver Failure	D065290
Acute On Chronic Liver Failure	D065290
Acute-On-Chronic Liver Failure (ACLF)	D065290
Acute On Chronic Liver Failure (ACLF)	D065290
Acute-On-Chronic Liver Failures	D065290
Acute-On-Chronic Liver Failures (ACLF)	D065290
Acute Pain	D059787
Acute Pains	D059787
Acute-Phase Reaction	D000210
Acute Phase Reaction	D000210
Acute-Phase Response	D000210
Acute-Phase State	D000210
Acute Phase State	D000210
Acute Poliomyelitis	D011051
Acute Poliomyelitis, Epidemic	D011051
Acute Porphyria	D017118
Acute Porphyrias	D017118
Acute Promyelocytic Leukemia	D015473
Acute Promyelocytic Leukemias	D015473
Acute Radiation Syndrome	D054508
Acute Radiation Syndromes	D054508
Acute Renal Colic	D056844
Acute Renal Colics	D056844
Acute Renal Injuries	D058186
Acute Renal Injury	D058186
Acute Respiratory Distress Syndrome	D012128
Acute Retinal Necroses	D015882
Acute Retinal Necrosis	D015882
Acute Retroviral Syndrome	D000071297
Acute Rheumatic Arthritides	D012213
Acute Rheumatic Arthritis	D012213
Acute Rheumatic Fever	D012213
Acute Rheumatic Fevers	D012213
Acute Subdural Hematoma	D020199
Acute Subdural Hematomas	D020199
Acute Suppurative Thyroiditides	D013969
Acute Suppurative Thyroiditis	D013969
Acute Symptom Flare	D000067251
Acute Symptom Flares	D000067251
Acute T-Cell Leukemia	D054218
Acute T-Cell Leukemias	D054218
Acute T-Lymphocytic Leukemia	D054218
Acute T-Lymphocytic Leukemias	D054218
Acute Yellow Atrophies	D047508
Acute Yellow Atrophy	D047508
Acute Yellow Atrophy of Liver	D047508
Acyltransferase Deficiency, Lecithin:Cholesterol	D007863
Adamantiades-Behcet Disease	D001528
Adamantiades Behcet Disease	D001528
Adamantiades-Behcet Diseases	D001528
Adamantinoma	D050398
Adamantinomas	D050398
Adams-Stokes Syndrome	D000219
Adams Stokes Syndrome	D000219
Adam-Stokes Attacks	D000219
Adam Stokes Attacks	D000219
Adaptation Syndrome, Space	D018489
Addiction, Alcohol	D000437
Addiction, Heroin	D006556
Addiction, Morphine	D009021
Addiction, Oncogene	D000074723
Addiction, Oncogenic	D000074723
Addiction, Opioid	D009293
Addiction, Opium	D000074607
Addictions, Opioid	D009293
Addison Anemia	D000752
Addison Disease	D000224
Addison Disease and Cerebral Sclerosis	D000326
Addison's Anemia	D000752
Addisons Anemia	D000752
Addison's Disease	D000224
Addisons Disease	D000224
Adductovarus, Metatarsus	D000070592
Adductus, Metatarsus	D000070592
Adenitides, Salivary Gland	D012793
Adenitis, Salivary Gland	D012793
Adenocarcinoma	D000230
Adenocarcinoma, Acinar Cell	D018267
Adenocarcinoma, Acinic Cell	D018267
Adenocarcinoma, Alveolar	D002282
Adenocarcinoma, Bronchiolo-Alveolar	D002282
Adenocarcinoma, Bronchiolo Alveolar	D002282
Adenocarcinoma, Clear Cell	D018262
Adenocarcinoma, Follicular	D018263
Adenocarcinoma in Situ	D065311
Adenocarcinoma in Situs	D065311
Adenocarcinoma, Intraepithelial	D065311
Adenocarcinoma, Lung	D000077192
Adenocarcinoma, Mucinous	D002288
Adenocarcinoma Of Kidney	D002292
Adenocarcinoma Of Kidneys	D002292
Adenocarcinoma of Lung	D000077192
Adenocarcinoma, Papillary	D000231
Adenocarcinoma, Preinvasive	D065311
Adenocarcinoma, Renal	D002292
Adenocarcinoma, Renal Cell	D002292
Adenocarcinomas	D000230
Adenocarcinomas, Acinar Cell	D018267
Adenocarcinomas, Acinic Cell	D018267
Adenocarcinomas, Alveolar	D002282
Adenocarcinomas, Bronchiolo-Alveolar	D002282
Adenocarcinoma, Scirrhous	D002293
Adenocarcinomas, Clear Cell	D018262
Adenocarcinoma, Sebaceous	D018266
Adenocarcinomas, Follicular	D018263
Adenocarcinomas, Intraepithelial	D065311
Adenocarcinomas, Lung	D000077192
Adenocarcinomas, Mucinous	D002288
Adenocarcinomas, Papillary	D000231
Adenocarcinomas, Preinvasive	D065311
Adenocarcinomas, Renal	D002292
Adenocarcinomas, Renal Cell	D002292
Adenocarcinomas, Scirrhous	D002293
Adenocarcinomas, Sebaceous	D018266
Adenocystic Carcinoma	D003528
Adenocystic Carcinomas	D003528
Adenofibroma	D000232
Adenofibroma, Clear Cell	D062625
Adenofibromas	D000232
Adenofibromas, Clear Cell	D062625
Adenohypophyseal Hyposecretion	D007018
Adenoid Cystic Carcinoma	D003528
Adenoid Cystic Carcinomas	D003528
Adenolymphoma	D000235
Adenolymphomas	D000235
Adenoma	D000236
Adenoma, Acidophil	D000239
Adenoma, Acidophilic	D000239
Adenoma, Adrenal Cortical	D018246
Adenoma, Adrenocortical	D018246
Adenoma, alpha-Cell	D005935
Adenoma, alpha Cell	D005935
Adenoma, Basophil	D000237
Adenoma, Basophilic	D000237
Adenoma, beta-Cell	D007340
Adenoma, beta Cell	D007340
Adenoma, Bile Duct	D002759
Adenoma, Chromophobe	D000238
Adenoma, Corticotroph	D049913
Adenoma, Eosinophil	D000239
Adenoma, Eosinophilic	D000239
Adenoma, Hepatocellular	D018248
Adenoma, Islet Cell	D007516
Adenoma, Lactotroph	D015175
Adenoma, Liver Cell	D018248
Adenoma, Malignant	D000230
Adenoma, Oxyphilic	D018249
Adenoma, Pleomorphic	D008949
Adenoma, Prolactin-Secreting, Pituitary	D015175
Adenomas	D000236
Adenomas, Acidophil	D000239
Adenomas, Acidophilic	D000239
Adenomas, Adrenal Cortical	D018246
Adenomas, Adrenocortical	D018246
Adenomas, alpha-Cell	D005935
Adenomas, Basophil	D000237
Adenomas, Basophilic	D000237
Adenomas, beta-Cell	D007340
Adenomas, Bile Duct	D002759
Adenomas, Chromophobe	D000238
Adenomas, Corticotroph	D049913
Adenomas, Eosinophil	D000239
Adenomas, Eosinophilic	D000239
Adenomas, Hepatocellular	D018248
Adenomas, Islet Cell	D007516
Adenomas, Lactotroph	D015175
Adenomas, Liver Cell	D018248
Adenomas, Malignant	D000230
Adenoma, Somatotroph	D049912
Adenomas, Pleomorphic	D008949
Adenomas, Somatotroph	D049912
Adenomas, Sweat Gland	D006607
Adenomas, Villous	D018253
Adenoma, Sweat Gland	D006607
Adenomatoid Tumor	D018254
Adenomatoid Tumors	D018254
Adenomatoses, Familial Endocrine	D009377
Adenomatoses, Multiple Endocrine	D009377
Adenomatoses, Ovine Pulmonary	D011648
Adenomatoses, Pulmonary	D018255
Adenomatoses, Pulmonary Ovine	D011648
Adenomatosis, Familial Endocrine	D009377
Adenomatosis, Multiple Endocrine	D009377
Adenomatosis, Ovine Pulmonary	D011648
Adenomatosis, Pulmonary	D018255
Adenomatosis, Pulmonary Ovine	D011648
Adenomatosis, Pulmonary, Ovine	D011648
Adenomatous Polyp	D018256
Adenomatous Polyposes, Familial	D011125
Adenomatous Polyposis Coli	D011125
Adenomatous Polyposis Coli, Familial	D011125
Adenomatous Polyposis Colus	D011125
Adenomatous Polyposis, Familial	D011125
Adenomatous Polyposis of the Colon	D011125
Adenomatous Polyps	D018256
Adenoma, Villous	D018253
Adenomyoepithelioma	D055331
Adenomyoepitheliomas	D055331
Adenomyoma	D018194
Adenomyomas	D018194
Adenomyoses	D062788
Adenomyosis	D062788
Adenopathies	D000072281
Adenopathies, Multiple Endocrine	D009377
Adenopathy	D000072281
Adenopathy, Multiple Endocrine	D009377
Adenophorea Infection	D017188
Adenophorea Infections	D017188
Adenosarcoma	D018195
Adenosarcomas	D018195
Adenosquamous Carcinoma	D018196
