(embryonic) hindbrain flexure	UBERON:0005820
2nd finger middle phalanx	UBERON:0004320
2nd finger proximal phalanx	UBERON:0004328
2nd pharyngeal arch	UBERON:0003066
2nd pharyngeal arch ectoderm	UBERON:0005660
2nd pharyngeal arch endoderm	UBERON:0005664
2nd pharyngeal arch mesenchyme	UBERON:0005689
2nd pharyngeal groove	UBERON:0005873
2nd pharyngeal groove ectoderm	UBERON:0005873
2nd pharyngeal membrane	UBERON:0009215
2nd pharyngeal pouch endoderm	UBERON:0007123
2nd toe	UBERON:0003632
2nd toe distal phalanx	UBERON:0004316
2nd toe intermediate phalanx	UBERON:0004324
2nd toe middle phalanx	UBERON:0004324
2nd toe proximal phalanx	UBERON:0004333
3 rd digit of hand digit long bone	UBERON:0003637
3 rd digit of hand long bone of digit	UBERON:0003637
3 rd digit of hand metacarpal	UBERON:0003647
3 rd digit of hand metacarpal bone	UBERON:0003647
3 rd digit of hand phalanx	UBERON:0003637
3 rd finger digit long bone	UBERON:0003637
3 rd finger long bone of digit	UBERON:0003637
3 rd finger metacarpal	UBERON:0003647
3 rd finger metacarpal bone	UBERON:0003647
3 rd finger phalanx	UBERON:0003637
3rd arch artery	UBERON:0003120
3rd arch branchial groove	UBERON:0005874
3rd arch branchial pouch	UBERON:0007124
3rd arch branchial pouch endoderm	UBERON:0007124
3rd arch ectoderm	UBERON:0005661
3rd arch endoderm	UBERON:0005665
3rd arch groove ectoderm	UBERON:0005874
3rd arch mesenchyme	UBERON:0005690
3rd arch mesenchyme from head mesenchyme	UBERON:0010344
3rd arch mesenchyme from neural crest	UBERON:0010255
3rd arch pharyngeal cleft	UBERON:0005874
3rd branchial pouch	UBERON:0007124
3rd digit distal phalanx	UBERON:0014485
3rd digit intermediate phalanx	UBERON:0014489
3rd digit middle phalanx	UBERON:0014489
3rd digit of autopod proximal phalanx	UBERON:0014503
3rd digit of hand	UBERON:0003623
3rd digit of hand distal phalanx	UBERON:0004312
3rd digit of hand intermediate phalanx	UBERON:0004321
3rd digit of hand middle phalanx	UBERON:0004321
3rd digit of hand proximal phalanx	UBERON:0004329
3rd digit of intermediate phalanx	UBERON:0014489
3rd digit of middle phalanx	UBERON:0014489
3rd digit proximal phalanx	UBERON:0014503
3rd finger	UBERON:0003623
3rd finger distal phalanx	UBERON:0004312
3rd finger intermediate phalanx	UBERON:0004321
3rd finger middle phalanx	UBERON:0004321
3rd finger proximal phalanx	UBERON:0004329
3rd lobe	UBERON:2005174
3rd metapodium bone	UBERON:0013583
3rd pharyngeal arch	UBERON:0003114
3rd pharyngeal arch ectoderm	UBERON:0005661
3rd pharyngeal arch endoderm	UBERON:0005665
3rd pharyngeal arch mesenchyme	UBERON:0005690
3rd pharyngeal arch mesenchyme derived from neural crest	UBERON:0010255
3rd pharyngeal groove	UBERON:0005874
3rd pharyngeal groove ectoderm	UBERON:0005874
3rd pharyngeal membrane	UBERON:0009216
3rd pharyngeal pouch endoderm	UBERON:0007124
3rd toe	UBERON:0003633
3rd toe distal phalanx	UBERON:0004317
3rd toe intermediate phalanx	UBERON:0004325
3rd toe middle phalanx	UBERON:0004325
3rd toe proximal phalanx	UBERON:0004334
3rd ventricle	UBERON:0002286
3rd ventricle ependyma	UBERON:0004642
4 cell stage	UBERON:0007233
4 th digit of hand digit long bone	UBERON:0003638
4 th digit of hand long bone of digit	UBERON:0003638
4 th digit of hand metacarpal	UBERON:0003648
4 th digit of hand metacarpal bone	UBERON:0003648
4 th digit of hand phalanx	UBERON:0003638
4 th finger digit long bone	UBERON:0003638
4 th finger long bone of digit	UBERON:0003638
4 th finger metacarpal	UBERON:0003648
4 th finger metacarpal bone	UBERON:0003648
4 th finger phalanx	UBERON:0003638
4-8 cell stage embryo	UBERON:0019250
4-cell stage	UBERON:0007233
4-cell stage embryo	UBERON:0019251
4th arch artery	UBERON:0003121
4th arch branchial groove	UBERON:0005875
4th arch branchial pouch	UBERON:0007125
4th arch branchial pouch endoderm	UBERON:0007125
4th arch ectoderm	UBERON:0005662
4th arch endoderm	UBERON:0005666
4th arch mesenchyme	UBERON:0005691
4th arch mesenchyme from head mesenchyme	UBERON:0010345
4th arch mesenchyme from neural crest	UBERON:0010256
4th arch pharyngeal cleft	UBERON:0005875
4th arch pharyngeal groove ectoderm	UBERON:0005875
4th branchial arch	UBERON:0003115
4th branchial pouch	UBERON:0007125
4th digit distal phalanx	UBERON:0014486
4th digit intermediate phalanx	UBERON:0014490
4th digit middle phalanx	UBERON:0014490
4th digit of autopod proximal phalanx	UBERON:0014504
4th digit of hand	UBERON:0003624
4th digit of hand distal phalanx	UBERON:0004313
4th digit of hand intermediate phalanx	UBERON:0004322
4th digit of hand middle phalanx	UBERON:0004322
4th digit of hand proximal phalanx	UBERON:0004330
4th digit of intermediate phalanx	UBERON:0014490
4th digit of middle phalanx	UBERON:0014490
4th digit proximal phalanx	UBERON:0014504
4th finger	UBERON:0003624
4th finger distal phalanx	UBERON:0004313
4th finger intermediate phalanx	UBERON:0004322
4th finger middle phalanx	UBERON:0004322
4th finger proximal phalanx	UBERON:0004330
4th pharyngeal arch	UBERON:0003115
4th pharyngeal arch ectoderm	UBERON:0005662
4th pharyngeal arch endoderm	UBERON:0005666
4th pharyngeal arch mesenchyme	UBERON:0005691
4th pharyngeal arch mesenchyme derived from neural crest	UBERON:0010256
4th pharyngeal groove	UBERON:0005875
4th pharyngeal groove ectoderm	UBERON:0005875
4th pharyngeal membrane	UBERON:0009217
4th pharyngeal pouch endoderm	UBERON:0007125
4th toe	UBERON:0003634
4th toe distal phalanx	UBERON:0004318
4th toe intermediate phalanx	UBERON:0004326
4th toe middle phalanx	UBERON:0004326
4th toe proximal phalanx	UBERON:0004335
4th visceral arch	UBERON:0003115
5 th digit of hand digit long bone	UBERON:0003639
5 th digit of hand long bone of digit	UBERON:0003639
5 th digit of hand metacarpal	UBERON:0003649
5 th digit of hand metacarpal bone	UBERON:0003649
5 th digit of hand phalanx	UBERON:0003639
5 th finger digit long bone	UBERON:0003639
5 th finger long bone of digit	UBERON:0003639
5 th finger metacarpal	UBERON:0003649
5 th finger metacarpal bone	UBERON:0003649
5 th finger phalanx	UBERON:0003639
5th arch mesenchyme	UBERON:0013502
5th branchial pouch	UBERON:0007126
5th digit distal phalanx	UBERON:0014487
5th digit intermediate phalanx	UBERON:0014491
5th digit middle phalanx	UBERON:0014491
5th digit of autopod proximal phalanx	UBERON:0014505
5th digit of hand	UBERON:0003625
5th digit of hand distal phalanx	UBERON:0004314
5th digit of hand intermediate phalanx	UBERON:0004323
5th digit of hand middle phalanx	UBERON:0004323
5th digit of hand proximal phalanx	UBERON:0004331
5th digit of intermediate phalanx	UBERON:0014491
5th digit of middle phalanx	UBERON:0014491
5th digit proximal phalanx	UBERON:0014505
5th finger	UBERON:0003625
5th finger distal phalanx	UBERON:0004314
5th finger intermediate phalanx	UBERON:0004323
5th finger middle phalanx	UBERON:0004323
5th finger proximal phalanx	UBERON:0004331
5th ganglion	UBERON:0001675
5th pharyngeal arch mesenchyme	UBERON:0013502
5th toe	UBERON:0003635
5th toe distal phalanx	UBERON:0004319
5th toe intermediate phalanx	UBERON:0004327
5th toe middle phalanx	UBERON:0004327
5th toe proximal phalanx	UBERON:0004336
6th arch	UBERON:0003117
6th arch artery	UBERON:0003123
6th arch branchial pouch	UBERON:0007127
6th arch mesenchyme	UBERON:0010031
6th arch mesenchyme from head mesenchyme	UBERON:0010347
6th arch mesenchyme from neural crest	UBERON:0010257
6th branchial pouch	UBERON:0007127
6th finger	UBERON:0011981
6th pharyngeal arch mesenchyme	UBERON:0010031
8 cell stage	UBERON:0007236
8-cell stage	UBERON:0007236
8-cell stage embryo	UBERON:0019252
A10 dopaminergic cell group	UBERON:0036005
A11 dopaminergic cell group	UBERON:0036006
A12 dopaminergic cell group	UBERON:0036009
A13 dopaminergic cell group	UBERON:0036007
A14 dopaminergic cell group	UBERON:0036001
A15 dopaminergic cell group	UBERON:0036002
A16 dopaminergic cell group	UBERON:0036008
A17 dopaminergic cell group	UBERON:0036004
A8 dopaminergic cell group	UBERON:0036000
A9 dopaminergic cell group	UBERON:0036003
AA1	UBERON:0003118
AA2	UBERON:0003119
AA3	UBERON:0003120
AA4	UBERON:0003121
AA5	UBERON:0003122
AA6	UBERON:0003123
AER forelimb	UBERON:0005421
AFA	UBERON:2005012
AFL	UBERON:2005015
AL	UBERON:4300021
ALL	UBERON:0014899
ALPM	UBERON:0009881
AMA	UBERON:2005080
AMCtA	UBERON:2005052
AOB, glomerular layer	UBERON:0007631
AOB, granular layer	UBERON:0015244
AOB, internal plexiform layer	UBERON:0019290
AOB, outer plexiform layer	UBERON:0019289
APN	UBERON:0035567
AV	UBERON:4300022
AV bundle	UBERON:0002353
AV canal	UBERON:0002087
AV canal endocardium	UBERON:0003930
AV cushion	UBERON:0002062
AV nodal muscle tissue	UBERON:0002352
AV node	UBERON:0002352
AV ring	UBERON:2005073
AV valve	UBERON:0002133
AVC	UBERON:0002087
AVC endocardium	UBERON:0003930
AVC lumen	UBERON:0011819
AVL	UBERON:4300026
Aaq dopaminergic cell group	UBERON:0036010
Accessory hemi-azygos vein	UBERON:0006665
Achille's tendon	UBERON:0003701
Achilles tendon	UBERON:0003701
Achilles' tendon	UBERON:0003701
Adam's apple	UBERON:0034680
Adams apple	UBERON:0034680
Albarran's gland	UBERON:0035766
Ammon's horn	UBERON:0001954
Anterolateral Supplementary Element	UBERON:3010838
Aortic wall	UBERON:0004663
Apical Supplementary Element	UBERON:3010837
Arachnoid trabeculae set	UBERON:0000438
Aristotle's lantern	UBERON:0008253
Aristotles lantern	UBERON:0008253
Arnold's ganglion	UBERON:0003963
Arterial wall	UBERON:0000415
Auberbach plexus	UBERON:0002439
Auberbach's plexus	UBERON:0002439
Auberbachs plexus	UBERON:0002439
Auerbach's plexus	UBERON:0002439
B cell domain	UBERON:0010392
B09-1	UBERON:0006099
B09-10	UBERON:0013541
B09-11	UBERON:0013528
B09-12	UBERON:0013543
B09-13	UBERON:0013544
B09-14	UBERON:0013545
B09-15	UBERON:0013546
B09-16	UBERON:0013547
B09-18	UBERON:0006473
B09-19	UBERON:0013550
B09-2	UBERON:0013533
B09-20	UBERON:0013551
B09-21	UBERON:0013552
B09-22	UBERON:0013553
B09-23	UBERON:0013554
B09-24	UBERON:0006101
B09-25	UBERON:0013556
B09-26	UBERON:0004718
B09-27	UBERON:0013558
B09-28	UBERON:0013559
B09-29	UBERON:0004717
B09-3	UBERON:0006100
B09-30	UBERON:0006474
B09-31	UBERON:0006475
B09-32	UBERON:0013560
B09-33	UBERON:0006476
B09-34	UBERON:0006477
B09-35	UBERON:0006102
B09-36	UBERON:0006104
B09-37	UBERON:0006478
B09-38	UBERON:0006479
B09-39	UBERON:0006480
B09-4	UBERON:0013535
B09-40	UBERON:0013573
B09-41	UBERON:0006095
B09-42	UBERON:0006096
B09-43	UBERON:0013561
B09-44	UBERON:0006481
B09-45	UBERON:0006482
B09-46	UBERON:0006483
B09-47	UBERON:0006484
B09-48	UBERON:0006485
B09-5	UBERON:0006471
B09-52	UBERON:0006486
B09-6	UBERON:0006472
B09-7	UBERON:0013538
B09-8	UBERON:0013539
B09-8a	UBERON:0013562
B09-9	UBERON:0013540
BA1	UBERON:0006099
BA17	UBERON:0002436
BA18	UBERON:0006473
BA21	UBERON:0013552
BA24	UBERON:0006101
BA27	UBERON:0013558
BA28	UBERON:0013559
BA3	UBERON:0006100
BA30	UBERON:0006474
BA31	UBERON:0006475
BA33	UBERON:0006476
BA34	UBERON:0006477
BA35	UBERON:0006102
BA36	UBERON:0006104
BA37	UBERON:0006478
BA38	UBERON:0006479
BA39	UBERON:0006480
BA41	UBERON:0006095
BA42	UBERON:0006096
BA44	UBERON:0006481
BA45	UBERON:0006482
BA46	UBERON:0006483
BA47	UBERON:0006484
BA48	UBERON:0006485
BA5	UBERON:0006471
BA52	UBERON:0006486
BA6	UBERON:0006472
BCA	UBERON:2005000
BL	UBERON:0006107
Bachmann's bundle	UBERON:0005982
Balbiani body	UBERON:3010306
Barrington's nucleus	UBERON:0007632
Bartholin gland	UBERON:0000460
Bartholin's gland	UBERON:0000460
Baudelot's ligament	UBERON:2001683
Bauhin's glands	UBERON:0006330
Bichat's fat pad	UBERON:0012167
Bidder's organ	UBERON:3000041
Biventer 1 (HVIII)	UBERON:0006121
Biventral Lobule	UBERON:0006121
Blandin's glands	UBERON:0006330
Botallo's duct	UBERON:0007642
Botallo's ligament	UBERON:0007642
Botallo's node	UBERON:0007643
Bottalo's foramen	UBERON:0004754
Bowman's anterior elastic lamina	UBERON:0004370
Bowman's capsule	UBERON:0001230
Bowman's layer	UBERON:0004370
Bowman's membrane	UBERON:0004370
Bowman's parietal epithelium	UBERON:0005750
Bowman's space	UBERON:0001286
Bowman's visceral epithelium	UBERON:0005751
Bowmans capsule	UBERON:0001230
Boxer's muscle	UBERON:0001125
Brachet's cleft	UBERON:2000000
Brodmann (1909) area 1	UBERON:0006099
Brodmann (1909) area 10	UBERON:0013541
Brodmann (1909) area 11	UBERON:0013528
Brodmann (1909) area 12	UBERON:0013543
Brodmann (1909) area 13	UBERON:0013544
Brodmann (1909) area 14	UBERON:0013545
Brodmann (1909) area 15	UBERON:0013546
Brodmann (1909) area 16	UBERON:0013547
Brodmann (1909) area 17	UBERON:0002436
Brodmann (1909) area 18	UBERON:0006473
Brodmann (1909) area 19	UBERON:0013550
Brodmann (1909) area 2	UBERON:0013533
Brodmann (1909) area 20	UBERON:0013551
Brodmann (1909) area 21	UBERON:0013552
Brodmann (1909) area 22	UBERON:0013553
Brodmann (1909) area 23	UBERON:0013554
Brodmann (1909) area 24	UBERON:0006101
Brodmann (1909) area 25	UBERON:0013556
Brodmann (1909) area 26	UBERON:0004718
Brodmann (1909) area 27	UBERON:0013558
Brodmann (1909) area 28	UBERON:0013559
Brodmann (1909) area 29	UBERON:0004717
Brodmann (1909) area 3	UBERON:0006100
Brodmann (1909) area 30	UBERON:0006474
Brodmann (1909) area 31	UBERON:0006475
Brodmann (1909) area 32	UBERON:0013560
Brodmann (1909) area 33	UBERON:0006476
Brodmann (1909) area 34	UBERON:0006477
Brodmann (1909) area 35	UBERON:0006102
Brodmann (1909) area 36	UBERON:0006104
Brodmann (1909) area 37	UBERON:0006478
Brodmann (1909) area 38	UBERON:0006479
Brodmann (1909) area 39	UBERON:0006480
Brodmann (1909) area 4	UBERON:0013535
Brodmann (1909) area 40	UBERON:0013573
Brodmann (1909) area 41	UBERON:0006095
Brodmann (1909) area 42	UBERON:0006096
Brodmann (1909) area 43	UBERON:0013561
Brodmann (1909) area 44	UBERON:0006481
Brodmann (1909) area 45	UBERON:0006482
Brodmann (1909) area 46	UBERON:0006483
Brodmann (1909) area 47	UBERON:0006484
Brodmann (1909) area 48	UBERON:0006485
Brodmann (1909) area 5	UBERON:0006471
Brodmann (1909) area 52	UBERON:0006486
Brodmann (1909) area 6	UBERON:0006472
Brodmann (1909) area 7	UBERON:0013538
Brodmann (1909) area 8	UBERON:0013539
Brodmann (1909) area 8a	UBERON:0013562
Brodmann (1909) area 9	UBERON:0013540
Brodmann area	UBERON:0013529
Brodmann area 1	UBERON:0006099
Brodmann area 10	UBERON:0013541
Brodmann area 10, frontoplar	UBERON:0013541
Brodmann area 11, prefrontal	UBERON:0013528
Brodmann area 12	UBERON:0013543
Brodmann area 12, prefrontal	UBERON:0013543
Brodmann area 13	UBERON:0013544
Brodmann area 14	UBERON:0013545
Brodmann area 15	UBERON:0013546
Brodmann area 16	UBERON:0013547
Brodmann area 17	UBERON:0002436
Brodmann area 17, striate	UBERON:0002436
Brodmann area 18	UBERON:0006473
Brodmann area 18, parastriate	UBERON:0006473
Brodmann area 19	UBERON:0013550
Brodmann area 19, peristriate	UBERON:0013550
Brodmann area 2	UBERON:0013533
Brodmann area 2, caudal postcentral	UBERON:0013533
Brodmann area 20	UBERON:0013551
Brodmann area 20, inferior temporal	UBERON:0013551
Brodmann area 21	UBERON:0013552
Brodmann area 21, middle temporal	UBERON:0013552
Brodmann area 22	UBERON:0013553
Brodmann area 22, superior temporal	UBERON:0013553
Brodmann area 23	UBERON:0013554
Brodmann area 23, ventral posterior cingulate	UBERON:0013554
Brodmann area 24	UBERON:0006101
Brodmann area 25	UBERON:0013556
Brodmann area 25, subgenual	UBERON:0013556
Brodmann area 26	UBERON:0004718
Brodmann area 26, ectosplenial	UBERON:0004718
Brodmann area 26, presubicular	UBERON:0013558
Brodmann area 27	UBERON:0013558
Brodmann area 28	UBERON:0013559
Brodmann area 28, entorhinal	UBERON:0013559
Brodmann area 29	UBERON:0004717
Brodmann area 29, granular retrolimbic	UBERON:0004717
Brodmann area 3	UBERON:0006100
Brodmann area 30	UBERON:0006474
Brodmann area 30, agranular retrolimbic	UBERON:0006474
Brodmann area 31	UBERON:0006475
Brodmann area 31, dorsal posterior cingulate	UBERON:0006475
Brodmann area 32	UBERON:0013560
Brodmann area 32, dorsal anterior cingulate	UBERON:0013560
Brodmann area 33	UBERON:0006476
Brodmann area 33, pregenual	UBERON:0006476
Brodmann area 34	UBERON:0006477
Brodmann area 34, dorsal entorhinal	UBERON:0006477
Brodmann area 35	UBERON:0006102
Brodmann area 35, perirhinal	UBERON:0006102
Brodmann area 36	UBERON:0006104
Brodmann area 37	UBERON:0006478
Brodmann area 37, occipitotemporal	UBERON:0006478
Brodmann area 38	UBERON:0006479
Brodmann area 38, temporopolar	UBERON:0006479
Brodmann area 39	UBERON:0006480
Brodmann area 39, angular	UBERON:0006480
Brodmann area 4	UBERON:0013535
Brodmann area 4, gigantopyramidal	UBERON:0013535
Brodmann area 40	UBERON:0013573
Brodmann area 40, supramarginal	UBERON:0013573
Brodmann area 41	UBERON:0006095
Brodmann area 41, anterior transverse temporal	UBERON:0006095
Brodmann area 42	UBERON:0006096
Brodmann area 42, posterior transverse temporal	UBERON:0006096
Brodmann area 43	UBERON:0013561
Brodmann area 43, subcentral	UBERON:0013561
Brodmann area 44	UBERON:0006481
Brodmann area 44, opercular	UBERON:0006481
Brodmann area 45	UBERON:0006482
Brodmann area 45, triangular	UBERON:0006482
Brodmann area 46	UBERON:0006483
Brodmann area 46, middle frontal	UBERON:0006483
Brodmann area 47	UBERON:0006484
Brodmann area 47, orbital	UBERON:0006484
Brodmann area 48	UBERON:0006485
Brodmann area 48, retrosubicular	UBERON:0006485
Brodmann area 5	UBERON:0006471
Brodmann area 5, preparietal	UBERON:0006471
Brodmann area 52	UBERON:0006486
Brodmann area 52, parainsular	UBERON:0006486
Brodmann area 6	UBERON:0006472
Brodmann area 6, agranular frontal	UBERON:0006472
Brodmann area 7	UBERON:0013538
Brodmann area 7, superior parietal	UBERON:0013538
Brodmann area 8	UBERON:0013539
Brodmann area 8, intermediate frontal	UBERON:0013539
Brodmann area 8a	UBERON:0013562
Brodmann area 9	UBERON:0013540
Brodmann area 9, granular frontal	UBERON:0013540
Brodmann's area 1	UBERON:0006099
Brodmann's area 18	UBERON:0006473
Brodmann's area 19	UBERON:0013550
Brodmann's area 2	UBERON:0013533
Brodmann's area 25	UBERON:0013556
Brodmann's area 29	UBERON:0004717
Brodmann's area 3	UBERON:0006100
Brodmann's area 30	UBERON:0006474
Brodmann's area 31	UBERON:0006475
Brodmann's area 33	UBERON:0006476
Brodmann's area 35	UBERON:0006102
Brodmann's area 4	UBERON:0013535
Brodmann's area 41	UBERON:0006095
Brodmann's area 42	UBERON:0006096
Brodmann's area 48	UBERON:0006485
Brodmann.10	UBERON:0013541
Brodmann.35	UBERON:0006102
Brodmann.36	UBERON:0006104
Bruch membrane	UBERON:0003957
Bruch's basal membrane	UBERON:0003957
Bruch's membrane	UBERON:0003957
Brunner's gland	UBERON:0001212
Burdach's nucleus	UBERON:0002045
Böttcher's canal	UBERON:0011774
C1 cervical spinal cord	UBERON:0006469
C1 disk	UBERON:0007266
C1 intervertebral disk	UBERON:0007266
C1 segment	UBERON:0006469
C1 segment of cervical spinal cord	UBERON:0006469
C1 spinal cord segment	UBERON:0006469
C1 vertebra	UBERON:0001092
C2 disk	UBERON:0007265
C2 dorsal root ganglion	UBERON:0002839
C2 intervertebral disk	UBERON:0007265
C2 segment	UBERON:0006489
C2 segment of cervical spinal cord	UBERON:0006489
C2 spinal cord segment	UBERON:0006489
C2 vertebra	UBERON:0001093
C3 dorsal root ganglion	UBERON:0002840
C3 intervertebral disk	UBERON:0007260
C3 segment	UBERON:0006488
C3 segment of cervical spinal cord	UBERON:0006488
C3 spinal cord segment	UBERON:0006488
C3 vertebra	UBERON:0004612
C4 dorsal root ganglion	UBERON:0002841
C4 segment	UBERON:0006490
C4 segment of cervical spinal cord	UBERON:0006490
C4 spinal cord segment	UBERON:0006490
C4 vertebra	UBERON:0004613
C5 dorsal root ganglion	UBERON:0002842
C5 segment	UBERON:0006491
C5 segment of cervical spinal cord	UBERON:0006491
C5 spinal cord segment	UBERON:0006491
C5 vertebra	UBERON:0004614
C6 dorsal root ganglion	UBERON:0007711
C6 segment	UBERON:0006492
C6 segment of cervical spinal cord	UBERON:0006492
C6 spinal cord segment	UBERON:0006492
C6 vertebra	UBERON:0004615
C7 dorsal root ganglion	UBERON:0002843
C7 segment	UBERON:0006493
C7 segment of cervical spinal cord	UBERON:0006493
C7 spinal cord segment	UBERON:0006493
C7 vertebra	UBERON:0004616
C8 segment	UBERON:0006470
C8 segment of cervical spinal cord	UBERON:0006470
C8 spinal cord segment	UBERON:0006470
CA1	UBERON:0003881
CA1 alveus	UBERON:0014570
CA1 field	UBERON:0003881
CA1 field of Ammon's horn	UBERON:0003881
CA1 field of cornu ammonis	UBERON:0003881
CA1 field of hippocampus	UBERON:0003881
CA1 part of stratum lacunosum moleculare	UBERON:0014557
CA1 part of stratum oriens	UBERON:0014552
CA1 part of stratum pyramidale hippocampi	UBERON:0014548
CA1 part of stratum radiatum	UBERON:0014554
CA1 stratum lacunosum moleculare	UBERON:0014557
CA1 stratum oriens	UBERON:0014552
CA1 stratum pyramidale hippocampi	UBERON:0014548
CA1 stratum radiatum	UBERON:0014554
CA2	UBERON:0003882
CA2 field	UBERON:0003882
CA2 field of Ammon's horn	UBERON:0003882
CA2 field of cornu ammonis	UBERON:0003882
CA2 field of hippocampus	UBERON:0003882
CA2 part of stratum lacunosum moleculare	UBERON:0014558
CA2 part of stratum oriens	UBERON:0014551
CA2 part of stratum pyramidale hippocampi	UBERON:0014549
CA2 part of stratum radiatum	UBERON:0014555
CA2 stratum lacunosum moleculare	UBERON:0014558
CA2 stratum oriens	UBERON:0014551
CA2 stratum pyramidale hippocampi	UBERON:0014549
CA2 stratum radiatum	UBERON:0014555
CA3	UBERON:0003883
CA3 alveus	UBERON:0014571
CA3 field	UBERON:0003883
CA3 field of Ammon's horn	UBERON:0003883
CA3 field of cornu ammonis	UBERON:0003883
CA3 field of hippocampus	UBERON:0003883
CA3 part of stratum lacunosum moleculare	UBERON:0014559
CA3 part of stratum oriens	UBERON:0014553
CA3 part of stratum pyramidale hippocampi	UBERON:0014550
CA3 part of stratum radiatum	UBERON:0014556
CA3 stratum lacunosum moleculare	UBERON:0014559
CA3 stratum lucidum	UBERON:0014560
CA3 stratum oriens	UBERON:0014553
CA3 stratum pyramidale hippocampi	UBERON:0014550
CA3 stratum radiatum	UBERON:0014556
CA4	UBERON:0003884
CA4 field	UBERON:0003884
CA4 field of Ammon's horn	UBERON:0003884
CA4 field of cornu ammonis	UBERON:0003884
CA4 field of hippocampus	UBERON:0003884
CCB	UBERON:2005013
CCtA	UBERON:2005021
CLi	UBERON:0013733
CMA	UBERON:0006108
CMV	UBERON:2005051
CN-VIII	UBERON:0001648
CNC	UBERON:0003099
CNH	UBERON:0007097
CNS	UBERON:0001017
CNS gray matter layer	UBERON:0016548
CNS grey matter layer	UBERON:0016548
CNS parenchyma	UBERON:0005158
CNS tract/commissure	UBERON:0002316
CNS ventricular system	UBERON:0005281
CNS white matter layer	UBERON:0016549
CSB	UBERON:0004198
CSF	UBERON:0001359
CVC	UBERON:2005219
CVO	UBERON:0005408
CVP	UBERON:0010078
CaDI	UBERON:2001051
Calleja island	UBERON:0001881
CamelHump	UBERON:0013657
Camper's fascia	UBERON:0007809
Canalis hyaloideus	UBERON:0006010
Cardiac atria	UBERON:0002081
Cardiac atria endocardium	UBERON:0002166
Casserio's muscle	UBERON:0001506
